################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sat Sep 12 04:43:25 2026
#     Working Directory: /mnt/hgfs/Shared_folder/src/spyglass
#     Report Location  : ./cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_sync/ac_sync_04.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Clock Synchronization Checks
#
################################################################################
#CrossProbeTag:ADV_CLK_SYNC_SS_SCH
#RuleName:Ac_sync02
##Sheet_Prop:disable_msg_grouping
##Sheet_Prop:disable_row_filtering
##Sheet_Prop:waiver_file_name:Ac_sync02_waiver.csv
##Sheet_Prop:file_identifier:top.u_async_fifo.u_sync_wptr.d_in_d0[3:0]
##Sheet_Prop:coltooltip:6##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Synchronization Scheme,Clock Names,Internal Clock Domain Tag,File:Line
8,Destination flop,top.u_async_fifo.u_sync_wptr.d_in_d0[3:0],"Conventional multi-flop for metastability technique","top.i_top_sys_clk",1,../async_fifo/synchronizer.sv:18
8,Source flop,top.u_async_fifo.u_wptr_handler.o_wptr_handler_g_wptr[3:0],"Conventional multi-flop for metastability technique","top.i_top_cxs_clk",0,../async_fifo/wptr_handler.sv:29
