################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sat Sep 12 04:43:37 2026
#     Working Directory: /mnt/hgfs/Shared_folder/src/spyglass
#     Report Location  : ./cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_conv02/ac_conv_01.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Ac_conv Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_CONV_SS_SCH
Schematic, Type, Signal Name, Source(s), Destination Clock(s), Source Clock(s),File:Line
1,Converging Gate,top.u_async_fifo.u_rptr_handler.rempty,"-","-","-",../async_fifo/rptr_handler.sv:19
2,Destination flop,top.u_async_fifo.u_sync_wptr.d_in_d0[3:0],"top.u_async_fifo.u_wptr_handler.o_wptr_handler_g_wptr[3:0]","top.i_top_sys_clk","top.i_top_cxs_clk",../async_fifo/synchronizer.sv:18
