################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sat Sep 12 04:43:25 2026
#     Working Directory: /mnt/hgfs/Shared_folder/src/spyglass
#     Report Location  : ./cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_02.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Clock Synchronization Checks
#
################################################################################
#CrossProbeTag:ADV_CLK_SYNC_SS_SCH
#RuleName:Ac_unsync02
##Sheet_Prop:disable_msg_grouping
##Sheet_Prop:disable_row_filtering
##Sheet_Prop:waiver_file_name:Ac_unsync02_waiver.csv
##Sheet_Prop:file_identifier:top.u_async_fifo.u_rptr_handler.o_rptr_handler_g_rptr[3:0]
##Sheet_Prop:coltooltip:7##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Failure Reason,Synchronization Scheme,Clock Names,Internal Clock Domain Tag,File:Line
6,Destination flop,top.u_async_fifo.u_rptr_handler.o_rptr_handler_g_rptr[3:0],unsynchronized destination,N.A.,"top.i_top_sys_clk",1,../async_fifo/rptr_handler.sv:28
6,Source flop,top.u_async_fifo.u_fifo_mem.fifo[7:0][1:0],"Clock domains of destination instance and synchronizer flop do not match",N.A.,"top.i_top_cxs_clk",0,../async_fifo/fifo_mem.sv:22
