################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sat Sep 12 04:43:34 2026
#     Working Directory: /mnt/hgfs/Shared_folder/src/spyglass
#     Report Location  : ./cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_crossing/CrossingMatrix.01.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Crossing Matrix
#
################################################################################
##Sheet_Prop:disable_row_filtering
#current_design:top
,DOMAIN,top.i_top_cxs_clk,top.i_top_sys_clk
"top.i_top_cxs_clk","CXS_DOMAIN",-,"11/1640112, 1/4"
"top.i_top_sys_clk","SYS_DOMAIN","0/0, 3/7",-
