
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_conv02.csv
#     Report Created by: ICer
#     Report Created on:  Sat Sep 12 04:43:10 2026
#     Working Directory: /mnt/hgfs/Shared_folder/src/spyglass
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
##Sheet_Prop:hidecols:9
##Sheet_Prop:coltooltip:6##Same sources reconvergence
##Sheet_Prop:coltooltip:7##Indicates whether the source is scalar or not
ID,CONVERGING GATE,GATE TYPE,NUMBER OF SYNCHRONIZERS, STATUS, SOURCE DIVERGENCE,SCALAR SOURCE,WAIVED,CSV FILE
44,top.u_async_fifo.u_rptr_handler.rempty,combinational gate,4,DISABLED,no,no,no,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_conv02/ac_conv_01.csv
46,top.u_async_fifo.u_wptr_handler.wfull,combinational gate,4,DISABLED,no,no,no,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_conv02/ac_conv_02.csv
