
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_unsync02.csv
#     Report Created by: ICer
#     Report Created on:  Sat Sep 12 04:43:10 2026
#     Working Directory: /mnt/hgfs/Shared_folder/src/spyglass
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
##Sheet_Prop:hidecols:10
##Sheet_Prop:cross-probecol:1
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%3} -to {%5} -from_type {clock} -to_type {clock} -display_name  {cdc_false_path (clock->clock)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%2} -to {%4} -from_type {data} -to_type {data} -display_name  {cdc_false_path (data->data)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%2} -to {%5} -from_type {data} -to_type {clock} -display_name  {cdc_false_path (data->clock)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%3} -to {%4} -from_type {clock} -to_type {data} -display_name  {cdc_false_path (clock->data)}
ID,SOURCE,SOURCE CLOCK,DEST.,DEST. CLOCK,REASON,TOTAL SOURCES,TOTAL SOURCE DOMAINS,WAIVED,CSV FILE
9,top.u_async_fifo.u_fifo_mem.fifo[7:0][1:0],top.i_top_cxs_clk,top.u_async_fifo.u_rptr_handler.o_rptr_handler_g_rptr[3:0],top.i_top_sys_clk,"Clock domains of destination instance and synchronizer flop do not match",1,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_02.csv
A,top.u_async_fifo.u_fifo_mem.fifo[7:0][1:0],top.i_top_cxs_clk,top.u_async_fifo.u_rptr_handler.o_rptr_handler_b_rptr[3:0],top.i_top_sys_clk,"Qualifier not found",1,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_03.csv
D,top.u_async_fifo.u_fifo_mem.fifo[7:0][7:4],top.i_top_cxs_clk,top.u_system_wrapper.u_control_unit.state[2:0],top.i_top_sys_clk,"Qualifier not found",2,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_04.csv
F,top.u_async_fifo.u_fifo_mem.fifo[7:0][7:4],top.i_top_cxs_clk,top.u_system_wrapper.u_control_unit.err_code[1:0],top.i_top_sys_clk,"Qualifier not found",2,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_05.csv
15,top.u_async_fifo.u_fifo_mem.fifo[7:0][7:4],top.i_top_cxs_clk,top.u_system_wrapper.u_control_unit.tlp_config_counter[8:0],top.i_top_sys_clk,"Qualifier not found",2,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_08.csv
16,top.u_async_fifo.u_fifo_mem.fifo[7:0][1:0],top.i_top_cxs_clk,top.u_system_wrapper.u_control_unit.tlp_word_counter[1:0],top.i_top_sys_clk,"Qualifier not found",1,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_09.csv
18,top.u_async_fifo.u_fifo_mem.fifo[7:0][31:24],top.i_top_cxs_clk,top.u_system_wrapper.u_atu.base_addr_reg[7:0],top.i_top_sys_clk,"Qualifier not found",2,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_10.csv
19,top.u_async_fifo.u_fifo_mem.fifo[7:0][31:0],top.i_top_cxs_clk,top.u_system_wrapper.u_cdm.mem[255:0][32:0],top.i_top_sys_clk,"Qualifier not found",1,1,yes,cdc_prj/top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_11.csv
